"siteID","Lake_name","Other_names","lake_or_reservoir","location","region","latitude","longitude","geospatial_accuracy_km","elevation_m","mean_depth_m","max_depth_m","surface_area_km2","volume_km3","source","sampling_depth","sampling_time_of_day","time_period","contributor"
16,"Argyle",,"Reservoir","Australia","Oceania",-16.29,128.82,2.00,79.00,10.92,63.00,980.00,10.70,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
17,"Ashokan.East",,"Reservoir","United States","Northeastern North America",41.97,-74.15,5.00,178.95,16.70,32.90,20.87,0.34,"in situ","1","9:00-14:00","JAS","Nihar Samal NSamal@dep.nyc.gov"
18,"Ashokan.West",,"Reservoir","United States","Northeastern North America",41.96,-74.25,5.00,179.83,15.60,56.40,12.76,0.18,"in situ","1","9:00-14:00","JAS","Nihar Samal NSamal@dep.nyc.gov"
19,"Athabasca",,"Lake","Canada","Western North America",59.47,-109.39,2.00,212.00,26.00,124.00,7781.60,204.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
20,"Atitlan",,"Lake","Guatemala","South America",14.70,-91.19,2.00,1615.00,220.00,342.00,123.60,24.00,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
21,"Ayakkum","Ayak Kum, Ayak Kum Kul","Lake","China","Asia",37.55,89.45,2.00,4161.00,,,575.10,,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
22,"Bahral.Milh","Razazza","Reservoir","Iraq","Middle East",32.74,43.53,2.00,36.00,14.00,40.00,1810.00,25.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
23,"Baikal.North",,"Lake","Russia","Asia",54.20,108.97,2.00,450.00,730.00,1637.00,31924.60,23000.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
24,"Baikal.South",,"Lake","Russia","Asia",51.64,104.71,60.00,450.00,730.00,1637.00,31924.60,23000.00,"in situ","0","8:00-16:00","JAS","Eugene Silow; Lyubov Izmest eva"
25,"Balaton",,"Lake","Hungary","Europe",46.98,18.06,2.00,126.00,3.25,12.20,578.20,1.90,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
26,"Balkhash",,"Lake","Kazakhstan","Asia",46.30,74.50,2.00,329.00,5.80,25.60,17458.80,106.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
27,"Bangweulu",,"Lake","Zambia","Africa",-10.99,29.89,2.00,1170.00,4.00,10.00,2049.10,5.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
28,"Barossa",,"Reservoir","Australia","Oceania",-34.65,138.84,1.50,230.20,7.28,25.92,0.62,4.5e-03,"in situ","0","8:00-12:00","JFM","Rob Daly Rob.Daly@sawater.com.au"
29,"Barun.Torey",,"Lake","Russia","Asia",50.00,115.52,2.00,595.00,1.76,4.60,783.40,1.38,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
30,"Bay",,"Lake","Philippines","Oceania",14.41,121.13,2.00,12.00,2.80,7.30,883.70,3.20,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
31,"Beauclair",,"lake","United States","Southeastern North America",28.76,-81.66,1.00,19.00,2.00,2.40,4.30,0.01,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
32,"Becharof",,"Lake","United States","Western North America",57.98,-156.64,2.00,22.00,,92.00,1184.50,,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
33,"Beetaloo",,"Reservoir","Australia","Oceania",-33.18,138.21,1.00,367.40,9.63,24.25,0.33,3.2e-03,"in situ","0","8:00-12:00","JFM","Rob Daly Rob.Daly@sawater.com.au"
34,"Beloye",,"Lake","Russia","Europe",60.18,37.64,2.00,122.00,4.50,20.00,1095.40,6.20,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
35,"Beysehir",,"Lake","Turkey","Middle East",37.70,31.56,2.00,1148.00,5.00,9.00,659.60,3.0e-03,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
36,"Big.Muskellunge",,"Lake","United States","Northeastern North America",46.02,-89.61,1.50,250.00,7.50,21.30,3.96,0.02,"in situ","0","9:00-15:00","JAS","NTL LTER, Jordan Read jread@usgs.gov"
37,"Biwa.ko",,"Lake","Japan","Asia",35.33,136.17,25.00,69.00,41.00,104.00,658.50,27.50,"in situ","0.5","9:00-15:00","JAS","Michio Kumagai kumagai-m@lberi.jp"
38,"Blommesteinmeer.Brokopondo",,"Reservoir","Suriname","South America",4.86,-55.05,2.00,46.00,11.50,46.90,1631.40,22.70,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
39,"Blue.Chalk",,"Lake","Canada","Northeastern North America",45.19,-78.93,0.75,343.50,8.50,23.00,0.52,4.47e-03,"in situ","0.1","10:00-14:00","JAS","Jim Rusak Jim.Rusak@ontario.ca"
40,"Blue.Cypress",,"Lake","United States","Southeastern North America",27.72,-80.75,4.00,7.00,2.30,3.10,28.00,0.06,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
41,"BoengTonleChhma",,"Lake","Cambodia","Asia",13.04,103.92,2.00,4.00,1.00,10.00,2569.90,2.56,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
42,"Bosten",,"Lake","China","Asia",41.99,86.98,2.00,1062.00,9.70,15.70,999.50,8.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
43,"Bourget",,"Lake","France Savoie","Europe",45.73,5.86,1.00,231.00,80.00,145.00,44.00,3.52,"in situ","2","9:00-11:30","JAS","Orlane Anneville orlane.anneville@thonon.inra.fr"
44,"BrasDOr",,"Lake","Canada","Northeastern North America",45.84,-60.79,2.00,35.00,33.50,287.00,953.80,32.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
45,"Bratskoye",,"Reservoir","Russia","Asia",55.62,101.99,2.00,399.00,31.10,150.00,4476.50,169.30,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
46,"Brunnsjon","Brunnsj�n","Lake","Sweden","Europe",56.59,15.72,0.20,94.40,5.30,10.60,0.10,5.71e-04,"in situ","0","9:00-11:00","JAS","Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se"
47,"Buenos.Aires","General Carrera","Lake","Argentina Chile","South America",-46.49,-71.45,2.00,451.00,,586.00,1848.20,,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
48,"BuhayratAthTharthar",,"Reservoir","Iraq","Middle East",33.88,43.30,2.00,48.00,40.00,65.00,2119.40,35.18,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
49,"Burragorang.14.km.S.of.Dam.Wall",,"Reservoir","Australia","Oceania",-33.88,150.00,20.00,116.70,27.10,105.00,75.00,2.03,"in situ","0","8:00-12:00","JFM","Tracey Schultz Tracey.Schultz@sca.nsw.gov.au"
50,"Burragorang.4.km.Butchers",,"Reservoir","Australia","Oceania",-33.88,150.60,20.00,116.70,27.10,105.00,75.00,2.03,"in situ","0","8:00-12:00","JFM","Tracey Schultz Tracey.Schultz@sca.nsw.gov.au"
51,"Burragorang.500m.S.of.Dam.Wall",,"Reservoir","Australia","Oceania",-33.88,150.60,20.00,116.70,27.10,105.00,75.00,2.03,"in situ","0","8:00-12:00","JFM","Tracey Schultz Tracey.Schultz@sca.nsw.gov.au"
52,"Burragorang.9.km.S.of.Dam.Wall",,"Reservoir","Australia","Oceania",-33.88,150.60,20.00,116.70,27.10,105.00,75.00,2.03,"in situ","0","8:00-12:00","JFM","Tracey Schultz Tracey.Schultz@sca.nsw.gov.au"
53,"Burragorang.at.Woll.Arm",,"Reservoir","Australia","Oceania",-33.88,150.60,20.00,116.70,27.10,105.00,75.00,2.03,"in situ","0","8:00-12:00","JFM","Tracey Schultz Tracey.Schultz@sca.nsw.gov.au"
54,"Buyr","Bei er","Lake","Mongolia China","Asia",47.82,117.71,2.00,597.00,8.10,11.80,608.50,3.78,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
55,"CaboraBassa",,"Reservoir","Mozambique Zimbabwe","Africa",-15.61,32.32,2.00,420.00,20.90,157.00,4362.60,55.80,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
56,"Cannonsville",,"Reservoir","United States","Northeastern North America",42.06,-75.37,8.00,350.52,21.30,52.40,19.29,0.39,"in situ","1","9:00-14:00","JAS","Nihar Samal NSamal@dep.nyc.gov"
57,"Cardinia",,"Reservoir","Australia","Oceania",-37.96,145.41,4.00,167.00,22.20,81.00,12.95,0.28,"in situ","0","continuous","JFM","Shane Haydon shane.haydon@melbournewater.com.au"
58,"Carlton",,"Lake","United States","Southeastern North America",28.75,-81.66,1.00,19.00,3.80,5.00,2.00,7.6e-03,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
59,"Caspian.Sea",,"Lake","Kazakhstan Russia Turkmenistan Azerbaijan Iran","Middle East",42.19,50.49,2.00,-22.00,182.00,1025.00,378119.30,78200.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
60,"Cataract",,"Reservoir","Australia","Oceania",-34.27,150.80,6.50,289.90,11.50,46.00,8.46,0.09,"in situ","0","8:00-12:00","JFM","Tracey Schultz Tracey.Schultz@sca.nsw.gov.au"
61,"Cha.jihNan.mu.tso..Zhari.Namco",,"Lake","China","Asia",30.93,85.49,2.00,4743.00,3.60,5.60,1004.40,3.61,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
62,"Chad",,"Lake","Chad Nigeria Niger Cameroon","Africa",13.12,14.45,2.00,279.00,1.50,8.00,19346.60,6.30,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
63,"Chao","Chaohu","Lake","China","Asia",31.51,117.57,2.00,1.00,3.00,5.00,767.50,1.70,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
64,"Chapala",,"Lake","Mexico","Western North America",20.23,-102.90,2.00,1573.00,7.20,10.50,1127.30,7.90,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
65,"Chardarinskoye","Shardara Reservoir","Reservoir","Kazakhstan Uzbekistan","Asia",41.14,68.19,2.00,236.00,6.30,26.00,600.40,5.70,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
66,"Chilka","Chilika","Lake","India","Asia",19.76,85.40,2.00,16.00,1.40,2.40,884.60,1.23,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
67,"Chilwa",,"Lake","Malawi","Africa",-15.36,35.72,2.00,629.00,1.00,2.70,695.70,1.80,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
68,"Chiquita",,"Lake","Argentina","South America",-30.65,-62.49,2.00,66.00,3.50,19.00,2011.90,5.02,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
69,"Chishi","Mweru Wantipa, Cheshi","Lake","Zambia","Africa",-8.66,29.73,2.00,945.00,2.00,5.00,1389.90,2.77,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
70,"Chocon","Embalse Ezequiel Ramos Mejia","Reservoir","Argentina","South America",-39.52,-69.07,2.00,393.00,24.70,60.00,811.90,20.15,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
71,"Chub",,"Lake","Canada","Northeastern North America",46.51,-78.98,0.90,371.00,8.90,27.00,0.34,3.06e-03,"in situ","0.1","10:00-14:00","JAS","Jim Rusak Jim.Rusak@ontario.ca"
72,"Claire",,"Lake","Canada","Western North America",58.59,-112.08,2.00,212.00,1.20,2.00,1325.60,1.70,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
73,"Clear",,"Lake","United States","Western North America",39.07,-122.84,2.00,474.00,8.20,18.00,157.50,1.29,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
74,"Clearwater",,"Lake","Canada","Northeastern North America",46.37,-81.05,1.10,285.00,8.40,21.50,0.75,6.42e-03,"in situ","0","9:00-14:00","JAS","John Bailey jbailey@laurentian.ca"
75,"Colhue.Huapi",,"Lake","Argentina","South America",-45.54,-68.73,2.00,251.00,2.00,5.50,813.90,1.62,"satellite","skin-derived bulk temperature","22:00-5:00","JFM","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
76,"Cordeaux",,"Reservoir","Australia","Oceania",-34.34,150.75,4.00,303.70,12.00,52.00,7.80,0.09,"in situ","0","8:00-12:00","JFM","Tracey Schultz Tracey.Schultz@sca.nsw.gov.au"
77,"Crescent",,"Lake","United States","Southeastern North America",29.45,-81.48,11.00,1.00,3.00,3.84,63.00,0.18,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
78,"Crosson",,"Lake","Canada","Northeastern North America",45.08,-79.03,0.80,332.00,9.20,25.00,0.56,5.22e-03,"in situ","0.1","10:00-14:00","JAS","Jim Rusak Jim.Rusak@ontario.ca"
79,"Crystal",,"Lake","United States","Northeastern North America",46.00,-89.61,0.60,250.00,10.40,20.40,0.36,3.82e-03,"in situ","0","9:00-15:00","JAS","NTL LTER, Jordan Read jread@usgs.gov"
80,"Dauphin",,"Lake","Canada","Western North America",51.18,-99.71,2.00,259.00,2.40,3.40,516.40,1.29,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
81,"Dead.Sea",,"Lake","Jordan West Bank Israel","Middle East",31.45,35.48,2.00,-404.00,145.00,433.00,739.40,147.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
82,"Denham",,"Lake","United States","Southeastern North America",28.76,-81.90,0.70,20.00,1.20,1.50,1.00,1.2e-03,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
83,"Dickie",,"Lake","Canada","Northeastern North America",45.15,-79.08,1.00,354.50,5.00,12.00,0.93,4.68e-03,"in situ","0.1","10:00-14:00","JAS","Jim Rusak Jim.Rusak@ontario.ca"
84,"Dora",,"Lake","United States","Southeastern North America",28.78,-81.68,3.00,19.00,2.90,4.00,18.00,0.05,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
85,"Dore",,"Lake","Canada","Western North America",54.76,-107.28,2.00,459.00,10.90,20.40,634.40,6.68,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
86,"Dubawnt",,"Lake","Canada","Western North America",63.17,-101.47,2.00,235.00,,65.00,3628.50,,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
87,"Edward",,"Lake","Zaire Uganda","Africa",-0.30,29.62,2.00,781.00,34.00,117.00,2252.50,39.52,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
88,"Erie.B45005",,"Lake","Canada United States","Northeastern North America",41.67,-82.39,10.00,174.00,19.00,64.00,25691.00,458.00,"in situ","0","continuous","JAS","Jay Austin jaustin@d.umn.edu; Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
89,"Erie.Center",,"Lake","Canada United States","Northeastern North America",42.24,-81.14,2.00,174.00,19.00,64.00,25691.00,458.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
90,"Erken",,"Lake","Sweden","Europe",59.84,18.58,5.00,11.10,9.00,20.65,23.70,0.21,"in situ","1","9:00-11:00","JAS","Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se"
91,"Eustis",,"Lake","United States","Southeastern North America",28.83,-81.71,4.50,19.00,3.40,19.00,28.00,0.09,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
92,"Eyasi",,"Lake","Tanzania","Africa",-3.58,35.13,2.00,1023.00,1.00,1.00,1113.00,1.11,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
93,"Feeagh",,"Lake","Ireland","Europe",53.92,-9.57,0.50,20.00,14.50,45.00,3.92,0.05,"in situ","0","continuous","JAS","Elvira de Eyto elvira.deeyto@marine.ie"
94,"Fiolen",,"Lake","Sweden","Europe",57.09,14.52,2.00,226.00,3.80,10.50,1.63,6.21e-03,"in situ","0","9:00-11:00","JAS","Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se"
95,"Fish",,"Lake","United States","Northeastern North America",43.28,-89.65,1.00,259.69,6.60,18.90,0.87,5.77e-03,"in situ","0","9:00-15:00","JAS","NTL LTER, Jordan Read jread@usgs.gov"
96,"Fitzroy",,"Reservoir","Australia","Oceania",-34.65,150.49,2.80,663.50,4.80,10.00,4.82,0.02,"in situ","0","8:00-12:00","JFM","Tracey Schultz Tracey.Schultz@sca.nsw.gov.au"
97,"Fracksjon","Fracksj�n","Lake","Sweden","Europe",58.14,12.18,1.50,58.00,6.00,14.50,0.27,1.62e-03,"in situ","0","9:00-11:00","JAS","Gesa  Wehenmeyer Gesa.Weyhenmeyer@ebc.uu.se"
98,"Gaoyou",,"Lake","China","Asia",32.83,119.34,2.00,1.00,1.40,2.40,622.50,0.87,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
99,"Garda",,"Lake","Italy","Europe",45.53,10.64,2.00,65.00,133.00,350.00,368.00,49.00,"in situ","0","11:30-14:30","JAS","Nico Salmaso nico.salmaso@fmach.it"
100,"Geneva",,"Lake","Switzerland France","Europe",46.46,6.58,2.00,372.05,152.70,309.70,580.10,88.90,"in situ","0","9:00-11:30","JAS","Orlane Anneville orlane.anneville@thonon.inra.fr"
101,"George",,"Lake","United States","Southeastern North America",29.28,-81.58,9.00,1.00,2.50,3.35,186.00,0.46,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
102,"Giles",,"Lake","United States","Northeastern North America",41.37,-75.09,0.60,439.00,5.20,13.00,0.21,1.1e-03,"in situ","0","8:00-16:00","JAS","Craig Williamson craig.williamson@miamiOH.edu"
103,"Gorkovskoye",,"Reservoir","Russia","Europe",57.21,43.10,2.00,87.00,5.50,22.00,936.80,8.82,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
104,"Great.Bear",,"Lake","Canada","Western North America",66.00,-120.32,2.00,157.00,71.60,446.00,30530.10,2236.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
105,"Great.Salt.Lake",,"Lake","United States","Western North America",41.02,-112.42,2.00,1275.00,4.00,10.00,5965.80,18.92,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
106,"Great.Slave",,"Lake","Canada","Western North America",61.35,-114.79,2.00,158.00,41.00,614.00,27816.30,1580.00,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
107,"Greenvale",,"Reservoir","Australia","Oceania",-37.63,144.90,1.00,167.20,15.40,39.00,1.74,0.02,"in situ","0","continuous","JFM","Shane Haydon shane.haydon@melbournewater.com.au"
108,"Greifensee",,"Lake","Switzerland","Europe",47.35,8.67,3.50,435.00,17.80,32.00,8.49,0.15,"in situ","0",,"JAS","David Livingstone living@eawag.ch; Oliver K�ster oliver.koester@zuerich.ch; Pius Niderhauser pius.niederhauser@bd.zh.ch"
109,"Griffin",,"Lake","United States","Southeastern North America",28.86,-81.84,5.00,18.30,2.40,6.10,38.10,0.09,"in situ","0","9:00-12:00","JAS","Karl Havens khavens@ufl.edu"
110,"Gyaring","Zhaling","Lake","China","Asia",34.92,97.29,2.00,4256.00,8.90,13.10,533.90,46.70,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
111,"Hannah",,"Lake","Canada","Northeastern North America",46.44,-81.03,0.60,285.00,4.00,8.50,0.27,1.08e-03,"in situ","0","9:00-14:00","JAS","John Bailey jbailey@laurentian.ca"
112,"Happy.Valley",,"Reservoir","Australia","Oceania",-35.07,138.57,1.30,145.30,6.51,20.16,1.78,0.01,"in situ","0","8:00-12:00","JFM","Rob Daly Rob.Daly@sawater.com.au"
113,"Har",,"Lake","Mongolia","Asia",48.05,93.15,2.00,1160.00,4.14,7.00,601.30,2.42,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
114,"Har.Hala",,"Lake","China","Asia",38.30,97.56,2.00,4239.00,,65.00,594.90,,"satellite","skin-derived bulk temperature","22:00-5:00","JAS","Philipp Schneider ps@nilu.no; Simon Hook simon.j.hook@jpl.nasa.gov"
